skillName,category
Manage Online Communications,Technical
Manage Online Content,Technical
Manage Online Gambling,Technical
Manage Online Volunteers,Technical
Manage Open Publications,Technical
Manage Production Systems,Technical
Manage Quantitative Data,Technical
Manage Radiology Information System,Technical
Manage Research Data,Technical
Manage Software Localisation,Technical
Manage Software Releases,Technical
Manage Standard Enterprise Resource Planning System,Technical
Manage Standards For Data Exchange,Technical
Manage System Security,Technical
Manage System Testing,Technical
Manage Technical Security Systems,Technical
Manage Temporary ICT Networks For Live Performance,Technical
Manage Website,Technical
Manufacturer'S Instructions For Audiovisual Equipment,Technical
Maritime Telecommunications,Technical
Marketing Analytics,Technical
MarkLogic,Technical
MATLAB,Technical
MDX,Technical
Measure Software Usability,Technical
Medical Imaging Technology,Technical
Medical Informatics,Technical
Metasploit,Technical
Micro Mobility Devices,Technical
Microchip Scanners,Technical
Microelectromechanical Systems,Technical
Microprocessors,Technical
Microsoft Access,Technical
Microsoft Azure,Technical
Microsoft Visio,Technical
Microsoft Visual C++,Technical
Microsystem Test Procedures,Technical
Migrate Existing Data,Technical
Mix Ink,Technical
Mix Live Images,Technical
ML (Computer Programming),Technical
Mobile Device Management,Technical
Mobile Device Software Frameworks,Technical
Mobile Marketing,Technical
Mobile Operating Systems,Technical
Mobility As A Service,Technical
Model Based System Engineering,Technical
Model Electromagnetic Products,Technical
Model Hardware,Technical
Model Medical Devices,Technical
Model Microelectronics,Technical
Model Optical Systems,Technical
Model Power Electronics,Technical
Model Sensor,Technical
Modern Power Signalling Systems,Technical
Modify Textile Designs,Technical
MongoDB,Technical
Monitor Automated Machines,Technical
Monitor Communication Channels' Performance,Technical
Monitor ICT Research,Technical
Monitor Online Competitors,Technical
Monitor Quality Of Broadcasts,Technical
Monitor Satellites,Technical
Monitor System Performance,Technical
Monte Carlo Simulation,Technical
Moodle,Technical
Motion Capture,Technical
Motion Graphics,Technical
Multimedia Systems,Technical
Museum Databases,Technical
Music And Video Industry,Technical
MySQL,Technical
N1QL,Technical
Natural Language Processing,Technical
Nessus,Technical
Network Engineering,Technical
Network Management System Tools,Technical
Network Security,Technical
Network Standards,Technical
Nexpose,Technical
Next.js,Technical
Node js,Technical
Normalise Data,Technical
NoSQL,Technical
NumPy,Technical
Object-Oriented Modelling,Technical
Objective-C,Technical
ObjectStore,Technical
Observe Celestial Objects,Technical
Octopus Deploy,Technical
Office Software,Technical
OmniPage,Technical
Online Ads Campaign Techniques,Technical
Online Analytical Processing,Technical
Online Gambling,Technical
Online Job Platforms,Technical
Online Moderation Techniques,Technical
Open Source Model,Technical
OpenEdge Advanced Business Language,Technical
OpenEdge Database,Technical
Operate 2D CAD For Footwear,Technical
Operate 3D Computer Graphics Software,Technical
Operate An Audio Mixing Console,Technical
Operate An Emergency Communication System,Technical
Operate Audio Equipment,Technical
Operate Audio-Signal Processors,Technical
Operate Automated Optical Inspection Machine,Technical
Operate Automated Process Control,Technical
Operate Automated Stage Movement Control System,Technical
Operate Automatic Cutting Systems For Footwear And Leather Goods,Technical
Operate Bale Presses,Technical
Operate Broadcast Equipment,Technical
Operate Collating Machine,Technical
Operate Computerised Control Systems,Technical
Operate Control Panels,Technical
Operate Control Systems,Technical
Operate Dealership Management System,Technical
Operate Digital Printers,Technical
Operate Echo Sounding Equipment,Technical
Operate Electronic Measuring Instruments,Technical
Operate Electronic Payment Terminals,Technical
Operate GPS Systems,Technical
Operate Imagesetter,Technical
Operate Life-Saving Appliances,Technical
Operate Machine Tools,Technical
Operate Mailing Information Systems,Technical
Operate Maritime Communication Equipment,Technical
Operate Media Integration Systems,Technical
Operate Medical Imaging Equipment,Technical
Operate On-Board Computer Systems,Technical
Operate Open Source Software,Technical
Operate Port Communications Systems,Technical
Operate Private Branch Exchange,Technical
Operate Radar Equipment,Technical
Operate Radio Equipment,Technical
Operate Railway Control Panels,Technical
Operate Relational Database Management System,Technical
Operate Remote Broadcast Equipment,Technical
Operate Scanner,Technical
Operate Seismic Equipment,Technical
Operate Signal Generator,Technical
Operate Sound Live,Technical
Operate Stowage Programmes,Technical
Operate Tote Board,Technical
Operate Train Integrated Electronic Control Centre,Technical
Operate Two-Way Radio Systems,Technical
Operate Video Equipment,Technical
Operate Voice Picking Systems,Technical
Operate Warehouse Record Systems,Technical
Operating Systems,Technical
Optical Character Recognition Software,Technical
Optimise Choice Of ICT Solution,Technical
Optimise Fleet Usability,Technical
Oracle Application Development Framework,Technical
Oracle Data Integrator,Technical
Oracle Relational Database,Technical
Oracle Warehouse Builder,Technical
Oracle WebLogic,Technical
Outline Blockchain-Based Identity Management,Technical
Output Electronic Files,Technical
Outsourcing Model,Technical
Oversee Aircraft Sensor And Recording Systems,Technical
Oversee Clinical Information System Activities,Technical
Oversee Development Of Software,Technical
OWASP ZAP,Technical
Pandas,Technical
Parrot Security OS,Technical
Particle Animation,Technical
Pascal (Computer Programming),Technical
Pay-Per-Click,Technical
Penetration Testing Tool,Technical
Pentaho Data Integration,Technical
Perform Backups,Technical
Perform Computer Analyses Of Geotechnical Structures,Technical
Perform Data Analysis,Technical
Perform Data Cleansing,Technical
Perform Data Mining,Technical
Perform Dimensionality Reduction,Technical
Perform Energy Simulations,Technical
Perform Forensic Preservations Of Digital Devices,Technical
Perform ICT Security Testing,Technical
Perform ICT Troubleshooting,Technical
Perform Image Editing,Technical
Perform Online Data Analysis,Technical
Perform Pill Branding,Technical
Perform Safety Data Analysis,Technical
Perform Scrambling Operations,Technical
Perform Software Recovery Testing,Technical
Perform Software Unit Testing,Technical
Perform Video Editing,Technical
Perform Virtual Simulation,Technical
Perl,Technical
PHP,Technical
Plan Digital Marketing,Technical
Plan ICT Capacity,Technical
Plan Marketing Campaigns,Technical
Plan Migration To Cloud,Technical
Plan Social Media Marketing Campaigns,Technical
Plan Software Testing,Technical
Plot Shipping Navigation Routes,Technical
Plot Show Control Cues,Technical
Post-Processing Of Photographs,Technical
PostgreSQL,Technical
Postman,Technical
Power BI,Technical
Predictive Maintenance,Technical
Prepare Detailed Working Drawings For Interior Design,Technical
Prepare Digital Art For Master Photograph,Technical
Prepare Exhibition Marketing Plan,Technical
Prepare Sound Equipment On Stage,Technical
Prepare Visual Data,Technical
Prepare Well Data Sheets,Technical
Prevent Technical Problems With Media Integration Systems,Technical
Prince2 Project Management,Technical
Principles Of Animation,Technical
Principles Of Artificial Intelligence,Technical
Printed Circuit Boards,Technical
Printed Circuit Boards Testing Methods,Technical
Printing On Large Scale Machines,Technical
Prisma,Technical
Process Collected Survey Data,Technical
Process Data,Technical
Process Data From Railway Control Rooms,Technical
Process-Based Management,Technical
Procurement Of ICT Network Equipment,Technical
Produce Scanned Images,Technical
Produce Textile Designs,Technical
Product Data Management,Technical
Program A CNC Controller,Technical
Program Firmware,Technical
Program Home Alarm Systems,Technical
Program Sound Cues,Technical
Programmable Logic Controller,Technical
Project Anarchy,Technical
Projection Equipment,Technical
Prolog (Computer Programming),Technical
Promote Prevention Of Social Isolation,Technical
Promote Virtual Reality Travelling Experiences,Technical
Property Management Software,Technical
Propose ICT Solutions To Business Problems,Technical
Prototyping Development,Technical
Provide Connected Car Solutions,Technical
Provide Guidelines For Content Development,Technical
Provide ICT Support,Technical
Provide ICT System Training,Technical
Provide Multimedia Content,Technical
Provide Online Help,Technical
Provide Software Testing Documentation,Technical
Provide Training On E-Learning,Technical
Proxy Servers,Technical
Publishing Strategy,Technical
Puppet (Tools For Software Configuration Management),Technical
Put Uncut Recordings Into Computer,Technical
Python,Technical
Python (Computer Programming),Technical
PyTorch,Technical
QlikView Expressor,Technical
Quality Control Systems,Technical
Quantitative Analysis,Technical
Quantum Technology,Technical
Query Languages,Technical
R,Technical
RAGE (Digital Game Creation Systems),Technical
Rapid Application Development,Technical
React,Technical
React Native,Technical
Read 3D Displays,Technical
Real-Time Computing,Technical
Recognise Blockchain Application Areas,Technical
Recognise Blockchain Risks,Technical
Record Audio Materials,Technical
Record Data From Biomedical Tests,Technical
Record Multi-Track Sound,Technical
Redux,Technical
Reed Sensors,Technical
Remove Computer Virus Or Malware From A Computer,Technical
Render 3D Images,Technical
Repair Equipment On Site,Technical
Repair ICT Devices,Technical
Repair Lockable Devices,Technical
Repair Maritime Communication Equipment,Technical
Repair Mobile Devices,Technical
Replicate Customer Software Issues,Technical
Report Live Online,Technical
Research Remote Sensing Technologies,Technical
Research Website Users,Technical
Resource Description Framework Query Language,Technical
Respond To Incidents In Cloud,Technical
REST APIs,Technical
Rig 3D Characters,Technical
Robotic Components,Technical
Robotics,Technical
Roofing Drones,Technical
Ruby,Technical
Ruby (Computer Programming),Technical
Run A Media Server,Technical
Rust,Technical
Sakai,Technical
Salt (Tools For Software Configuration Management),Technical
Samurai Web Testing Framework,Technical
SAP Data Services,Technical
SAP R3,Technical
SAS Data Management,Technical
SAS Language,Technical
Sass,Technical
Scala,Technical
Scan Negatives,Technical
Scan Photos,Technical
Schoology,Technical
Scientific Computing,Technical
Scratch (Computer Programming),Technical
Screen Reader,Technical
Search Databases,Technical
Search Engine Optimisation,Technical
Search Engines,Technical
Select Recording Source,Technical
Self-Service Technologies In Tourism,Technical
Sensors,Technical
Service-Oriented Modelling,Technical
Set Colour Profiles,Technical
Set Scanner Controls,Technical
Set Up Audiovisual Peripheral Equipment,Technical
Set Up Automotive Robot,Technical
Set Up Basic Recording,Technical
Set Up Broadcast Equipment,Technical
Set Up Consumer Electronics,Technical
Set Up Cybersecurity Training Programmes,Technical
Set Up Documentation Control System,Technical
Set Up Media Integration Systems,Technical
Set Up Media Storage,Technical
Set Up Multimedia Equipment,Technical
Set Up Office Equipment,Technical
Set Up Sound Equipment,Technical
Set Up The Controller Of A Machine,Technical
Set Up Tote Board,Technical
Shiva (Digital Game Creation Systems),Technical
Signal Processing,Technical
Simulate Transport Problems,Technical
SketchBook Pro,Technical
Smalltalk (Computer Programming),Technical
Smart City Features,Technical
Smart Contract,Technical
Smart Contract Programming Languages,Technical
Smart Grids Systems,Technical
Social Media Management,Technical
Social Media Marketing Techniques,Technical
Software Anomalies,Technical
Software Architecture Models,Technical
Software Components Libraries,Technical
Software Components Suppliers,Technical
Software Design Methodologies,Technical
Software Frameworks,Technical
Software Interaction Design,Technical
Software Metrics,Technical
Software UI Design Patterns,Technical
Solidity,Technical
SolidWorks,Technical
Solution Deployment,Technical
Solve ICT System Problems,Technical
Solve Location And Navigation Problems By Using GPS Tools,Technical
Solve Problems In Gambling Through Digital Means,Technical
Source (Digital Game Creation Systems),Technical
SPARK,Technical
SPARQL,Technical
Specialised Astrology Software,Technical
Specify Digital Game Scenes,Technical
Speech Recognition,Technical
Spiral Development,Technical
Spring Boot,Technical
SQL,Technical
SQL Server,Technical
SQL Server Integration Services,Technical
STAF,Technical
Standards For Web-Based E-Learning,Technical
Statistical Analysis System Software,Technical
Stay Up To Date With Social Media,Technical
Store Digital Data And Systems,Technical
Study Radar Images,Technical
Study Website Behaviour Patterns,Technical
Style Sheet Languages,Technical
Supercomputing,Technical
Supervise Data Entry,Technical
Supervise Video And Motion Picture Editing Team,Technical
Supervise Video Quality,Technical
Support Audio System Installation,Technical
Support ICT System Users,Technical
Swift,Technical
Swift (Computer Programming),Technical
Synchronise With Mouth Movements,Technical
Synfig,Technical
System Backup Best Practice,Technical
System Design,Technical
Systems Development Life-Cycle,Technical
Systems Theory,Technical
Systems Thinking,Technical
Tableau,Technical
Tailwind CSS,Technical
Taleo,Technical
Task Algorithmisation,Technical
Teach Computer Science,Technical
Teach Digital Literacy,Technical
Technical Drawings,Technical
Technically Design A Sound System,Technical
Technology Education,Technical
Telecom Regulations,Technical
Telecommunication Trunking,Technical
Telecommunications Engineering,Technical
Tend CNC Drilling Machine,Technical
Tend CNC Engraving Machine,Technical
Tend CNC Grinding Machine,Technical
Tend CNC Laser Cutting Machine,Technical
Tend CNC Metal Punch Press,Technical
Tend CNC Milling Machine,Technical
Tend Computer Numerical Control Lathe Machine,Technical
TensorFlow,Technical
Teradata Database,Technical
Test Computer Hardware,Technical
Test Ground System Performance,Technical
Test Hardware,Technical
Test ICT Queries,Technical
Test Improved Aeronautical Information Management Systems,Technical
Test Microelectronics,Technical
Test Power Electronics,Technical
Test Sensors,Technical
Test System Accessibility For Users With Special Needs,Technical
Test Wireless Devices,Technical
THC Hydra,Technical
Tools For ICT Test Automation,Technical
Tools For Software Configuration Management,Technical
Track Changes In Text Editing,Technical
Trading Software,Technical
Transcribe Texts,Technical
Transfer Medical Information,Technical
Transfer Uncut Audiovisual Material To Computer,Technical
Translate Formulae Into Processes,Technical
Translate Requirement Concepts Into Content,Technical
Translate Requirements Into Visual Design,Technical
Transmission Technology,Technical
Transportation Software Related To An ERP System,Technical
TripleStore,Technical
Troubleshoot Website,Technical
Tune Up Wireless Audio Systems,Technical
Type On Electronic Devices,Technical
Types Of Audiovisual Formats,Technical
Types Of Digital Badges,Technical
Types Of Satellites,Technical
TypeScript,Technical
UI/UX Design,Technical
Unified Modelling Language,Technical
Unity (Digital Game Creation Systems),Technical
Unmanned Air Systems,Technical
Unreal Engine,Technical
Unstructured Data,Technical
Upgrade Firmware,Technical
Use 3D Scanners For Clothing,Technical
Use A Complex Communication System,Technical
Use A Telecine,Technical
Use A Warehouse Management System,Technical
Use Access Control Software,Technical
Use Aeronautical Mobile Service Communications,Technical
Use Agricultural Information Systems And Databases,Technical
Use An Application-Specific Interface,Technical
Use Analytics For Commercial Purposes,Technical
Use Audio Reproduction Software,Technical
Use Automatic Programming,Technical
Use Back-Up And Recovery Tools,Technical
Use Business Simulation Tools,Technical
Use CAD For Heels,Technical
Use CAD For Lasts,Technical
Use CAD For Soles,Technical
Use CAD Software,Technical
Use CADD Software,Technical
Use CAE Software,Technical
Use CAM Software,Technical
Use Capturing Systems For Live Performance,Technical
Use Chromatography Software,Technical
Use Colour Printing Programs,Technical
Use Communication Devices,Technical
Use Communication Equipment,Technical
Use Computer Programs To Improve Patients' Skills,Technical
Use Computer Telephony Integration,Technical
Use Computer-Aided Engineering Systems,Technical
Use Computer-Aided Translation,Technical
Use Computerised Maintenance Management Systems,Technical
Use Concurrent Programming,Technical
Use Content Management System Software,Technical
Use Creative Suite Software,Technical
Use Customer Relationship Management Software,Technical
Use Data Processing Techniques,Technical
Use Databases,Technical
Use Digital Illustration Techniques,Technical
Use Digital Instruments,Technical
Use E-Health And Mobile Health Technologies,Technical
Use E-Procurement,Technical
Use E-Tourism Platforms,Technical
Use Electronic Health Records In Nursing,Technical
Use Electronic Health Records Management System,Technical
Use Experience Map,Technical
Use Fleet Management System,Technical
Use Free Typing Techniques,Technical
Use Functional Neuroimaging,Technical
Use Functional Programming,Technical
Use Geographic Information Systems,Technical
Use Global Distribution System,Technical
Use ICT Equipment In Maintenance Activities,Technical
Use ICT Hardware,Technical
Use ICT Resources To Solve Work Related Tasks,Technical
Use ICT Systems,Technical
Use ICT Ticketing System,Technical
Use Interface Description Language,Technical
Use Internet Chat,Technical
Use Internet To Increase Sales,Technical
Use Intranet,Technical
Use IT Systems For Commercial Purposes,Technical
Use IT Tools,Technical
Use Logic Programming,Technical
Use Markup Languages,Technical
Use Mathematical Tools And Equipment,Technical
Use Media Software,Technical
Use Meteorological Tools To Forecast Meteorological Conditions,Technical
Use Methods Of Logistical Data Analysis,Technical
Use Microsoft Office,Technical
Use Milk Control Software,Technical
Use Mine Planning Software,Technical
Use Modern Electronic Navigational Aids,Technical
Use Object-Oriented Programming,Technical
Use Online Tools To Collaborate,Technical
Use Pattern-Cutting Softwares,Technical
Use Performance 3D Visualisation Techniques,Technical
Use Personal Organization Software,Technical
Use Pest Detection Sensors,Technical
Use Pipeline Video Equipment,Technical
Use Polygonal Modelling,Technical
Use Presentation Software,Technical
Use Production Planning Software,Technical
Use Query Languages,Technical
Use Radar Navigation,Technical
Use Remote Control Equipment,Technical
Use Rental Management Software,Technical
Use Reservoir Surveillance,Technical
Use Sales Forecasting Softwares,Technical
Use Scripting Programming,Technical
Use Session Border Controller,Technical
Use Shorthand Computer Program,Technical
Use Software Design Patterns,Technical
Use Software For Data Preservation,Technical
Use Software Libraries,Technical
Use Software Tools For Site Modelling,Technical
Use Sound Measuring Instruments,Technical
Use Special Hearing Equipment For Tests,Technical
Use Specialised Computer Models For Weather Forecasting,Technical
Use Specialised Design Software,Technical
Use Specialised Equipment,Technical
Use Specific Data Analysis Software,Technical
Use Spreadsheets Software,Technical
Use Technical Drawing Software,Technical
Use Technology For Forensics,Technical
Use Thermal Analysis,Technical
Use Thermal Management,Technical
Use Translation Memory Software,Technical
Use Typesetting Software,Technical
Use Ultrasonic Equipment,Technical
Use Water Navigation Devices,Technical
Use Word Processing Software,Technical
Utilise Computer-Aided Software Engineering Tools,Technical
Utilise Content Types,Technical
Utilise Decision Support System,Technical
Utilise Machine Learning,Technical
Utilise Regular Expressions,Technical
Vagrant,Technical
VBScript,Technical
Vehicle-To-Everything Technologies,Technical
Verify Formal ICT Specifications,Technical
Video Conferencing Tool,Technical
Video-Games Functionalities,Technical
Video-Games Trends,Technical
Virtual Reality,Technical
Visual Basic,Technical
Visual Presentation Techniques,Technical
VS Code,Technical
Vue.js,Technical
Vyper,Technical
Waterfall Development,Technical
Web Analytics,Technical
Web Application Security Threats,Technical
Web Based Collaborative Platforms,Technical
Web Programming,Technical
Web Services,Technical
Web Strategy Assessment,Technical
WebCMS,Technical
Weigh In Motion System,Technical
WhiteHat Sentinel,Technical
WildFly,Technical
Wire Security Sensors,Technical
Wireshark,Technical
WizIQ,Technical
WordPress,Technical
Work With E-Services Available To Citizens,Technical
Work With Virtual Learning Environments,Technical
World Wide Web Consortium Standards,Technical
Xcode,Technical
XQuery,Technical
Git & GitHub,Technical
Data Structures,Technical
HTML5 & CSS3,Technical
